"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Thornton","CO","Denver-Aurora-Lakewood","Adams County",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461950,460950,440559,473262.5,470950,471100,467900,461175,464900,463100,470900,474600,482925,487850,494675,491250,487875,469000,466350,466125,468400,474900,474900,474900,475950,487900,478650,490400,501950,492000,499900,499950,510000,514450,510900,524900,527900,524900,532900,533900,531900,549900,528000,549900,549900,552900
"Billings","MT","Billings","Yellowstone County",135,289200,281200,285000,280000,299000,289900,285000,269900,272400,279800,285000,272450,274900,269900,289900,289450,298250,295000,293000,289900,289900,289900,299900,294000,318000,325000,325000,338950,332450,323900,315900,329900,329750,325000,329600,327500,339900,344499.5,339900,334900,326900,331000,310950,297900,325000,349800,379900,352400,349900,345450,338000,349000,359900,359900,357500,339900,348500,347500,357000,374900,389900,367400,359900,349750,357250,344900,329900,335000,357450,368500,389900,365000,359900,355000,369000,367900,365900,375000,389900,369900,364900,354900,339900,349900,356450,359900,349950,349400,356500,349900,350000,349800,355400,358000,359900,358000,375000,384900,385949.5,365000,381200,408900,379900,389999,419900,4e+05,399900,394900
"Concord","CA","San Francisco-Oakland-Hayward","Contra Costa County",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777500,740000,740000,8e+05,829000,779000,912500,949000,934000,922475,892000,862500,892000,8e+05,874750,859900,8e+05,850000,799000,775000,775000,799999
"Ramapo","NY","New York-Newark-Jersey City","Rockland County",137,699000,674900,699000,649450,649900,650000,639500,630000,599950,579000,559000,587000,559000,559000,567000,621950,624900,639900,627000,643250,621950,649000,652450,599450,599000,599900,632000,624500,639450,649900,649000,617000,617000,599900,599450,625000,649000,634000,649000,642000,624000,609450,639000,604950,6e+05,624000,599900,599000,599999.5,650000,699000,649900,635000,649900,649000,639450,650000,649000,612999.5,619000,649000,649999,650000,672000,699000,699450,699900,699000,749900,749000,754900,749450,769000,776750,772200,749900,762450,749500,775000,799900,799900,799999,799900,825000,799000,799000,777000,772000,772000,799000,799000,799999,924900,865000,839999,840000,837499.5,795000,797000,795000,849000,829000,820000,799000,799000,799000,775000,797000
"Bloomington","IN","Bloomington","Monroe County",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e+05,4e+05,379900,364450,369000,357400,352400,349900,382000,379000,379000,360000,369000,415000,424750,440000,392450,449000,399900,350000,359500,371750,369000,369000,422450,412000,418500,429000,434900,429000,429000,419900,449000,479950,479950,494900,487400,453450,439000,494950,449900,499499.5,469900,484450,499000,489900,429900,428950,427900,435000,427500,439900,469950,460000,474900,474900,495000,510000,454450,479900,475000,475000,475000,479900,474900,504950,515000,517500,510000,492450,549000,510000,479900,479900,459900,449900,459900,474900,454450,433500
"Boulder","CO","Boulder","Boulder County",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573750,1472500,1495000,1282500,1230450,1232500,1297500,1329900,1349000,1495000,1495000,1399900,1375000,1398700,1324499.5,1447000,1569450,1522450,1549000,1500000,1500000,1500000,1575000,1622500,1595000,1695000,1695000,1650000,1549000,1662500,1657000,1720000,1650000,1650000,1770000,1770000,1895000,1895000,1847500,1845000,1650000,1875000,1875000,1875000,1785000,1795000,1795000
"Thousand Oaks","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199000,1190000,1199500,1299000,1250000,1249950,1279000,1312500,1385000,1412000,1425000,1419975,1355000,1269000,1300000,1249000,1250000,1250000,1249000,1249000,1262500,1250000,1200000,1199999.5,1224500,1249250,1362500,1290000,1290000,1292500,1269750,1299000,1349990,1345000,1398392,1345000,1365000,1449000,1489000,1475000,1447000,1460000,1440000,1475000,1479450,1427000,1399000,1299000,1394500,1375000,1500000,1439500,1414900,1414900,1499000,1537000,1575000,1696999.5,1699000,1795000,1725000,1699000,1712000,1595000,1621450,1559900,1650000,1699000,1640949.5,1598777.5,1548500
"Victorville","CA","Riverside-San Bernardino-Ontario","San Bernardino County",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,236250,238000,239450,244995,242000,245750,240000,239950,239900,240000,239394,239000,239888,236000,239900,239888,245000,239250,245000,244800,250000,259000,249950,252700,259800,258250,259000,260000,262000,269000,259640,259000,259999,275000,279900,280000,282499.5,289900,295000,289900,292500,292450,307000,304400,300900,310000,309900,310000,319000,319975,319900,324975,320900,319000,318900,324800,325000
"Roseville","CA","Sacramento--Roseville--Arden-Arcade","Placer County",142,442000,429945,429995,429000,429990,429995,429990,439000,452521,439000,432990,431950,419995,395000,419990,410000,397450,373500,379990,389950,389900,395000,380000,389900,399450,399450,412500,434990,415000,424599.5,429900,449990,464546.5,467490,459990,454100,477560,479990,496995,479995,482500,484000,489900,541628,546995,520000,505045,522495,509000,507871,517500,514500,520147,531990,531990,532445,512499.5,515000,522734,504420,515106,513397.5,515000,519990,539900,545000,539900,539000,539900,549700,549275,547124,549000,549894,549900,557490,557995,575000,585000,569970,574900,569495,568469.5,559990,568990,565351,567495,573990,575416.5,590500,594700,599900,599900,599990,599990,606950,609000,599000,599000,624990,625000,635000,629500,624900,633647,639000,647777,649500
"Simi Valley","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",143,766950,734500,729000,714500,730000,730000,725000,725000,729975,734450,727450,709900,699000,699949.5,709000,701000,722450,699900,690000,669000,672500,669000,664450,669000,659000,649900,649950,639900,608000,599000,614450,649000,640000,599450,567900,549450,6e+05,629900,649822,651250,670000,7e+05,699000,699000,729000,709000,725000,630000,650000,744000,735000,737500,730000,739900,782700,799000,799000,749499.5,759979,757489.5,767500,767500,830000,819900,799999.5,8e+05,814500,859000,810000,795000,805000,799950,799950,775000,839000,847450,824900,819000,841552,835000,854475,859450,859000,859900,859900,899000,899000,889900,899500,899000,897000,874500,840000,834245,840000,854795,850991.5,853888.5,860941.5,877000,837000,853455,859000,882450,859000,849900,849900,835990
"Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield County",144,1395000,1299000,1249000,1199999,1295000,1296000,1350000,1349000,1299000,1296000,1294500,1262000,1294000,1294000,1200000,1200000,1225000,1187500,1195000,1296500,1350000,1349000,1325000,1325000,1250000,1209000,1159375,1210000,1124000,1185000,1200000,1199000,1237000,1145000,1150000,1222000,1155000,1099499.5,1195000,1199900,1249000,1192000,1198500,1223500,1272500,1250000,1250000,1309750,1190000,1198000,1199000,1230000,1290000,1262500,1189495,1299000,1225000,1199000,1235000,1165000,994999.5,954500,1099900,1112450,1224500,1167000,1167000,1165000,1147000,1127000,1149000,1149000,1125000,1147000,1147000,1125000,1100000,1125000,1099000,1100000,1147500,1150000,1100000,1125000,1179990,1165000,1112500,1099000,1099000,1089000,1137000,1097000,1145000,1175000,1199000,1194000,1189000,1147000,1099500,1099000,1095000,1089000,1049000,1067500,1082000,1095000,1055000,1109999.5
"Pearland","TX","Houston-The Woodlands-Sugar Land","Brazoria County",145,320000,295000,304875,308346.5,316693,315596.5,317596.5,299999,288000,286550,279000,276950,276950,276950,278970,267550,282770,267250,281500,266950,267850,257550,266750,266750,277970,269900,291203,294950,309900,299000,309925,299450,315000,299000,298450,299000,294425,299000,307298.5,318000,325870,329567,309000,322642,361444,355051,370412.5,368990,371990,382700,360000,386900,389900,399900,399900,390093.5,399900,399900,395900,399900,395490,400990,398500,412541,414990,417990,417990,420450,401490,441945,399945,404990,404990,404990,402661.5,387492.5,412900,385990,374995,399990,392990,392990,392990,380995,362945,386492.5,396990,395990,395490,399000,414057,396990,403990,406990,402213.5,395000,392000,395990,390000,382497.5,385000,400490,389995,379995,376990,375000,376990,368990
"Denton","TX","Dallas-Fort Worth-Arlington","Denton County",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426495,381492,366990,365945,345000,358753,339950,328700,339551,324103,335000,345010,359055,395610,346864,367170,384900,369030,389447,394723,389447,392223.5,397499.5,350000,333240,354990,359999.5,344900,389900,425897.5,359900,369000,341000,341000,351995,337500,340136,378680.5,378700,409900,376850,389000,367450,359450,407000,354950,349900,342400
"Gainesville","GA","Gainesville","Hall County",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479900,529900,529900,525000,515000,499950,464950,479000,465000,449285,479000,496800,496800,522450,465000,465000,486900,472450,475000,454900,454900,449900
"Allentown","PA","Allentown-Bethlehem-Easton","Lehigh County",148,109500,114450,111000,103000,109950,109620,1e+05,99900,99900,105000,99900,95000,89900,89900,85900,88900,85900,79900,80000,87450,83750,84900,84900,83000,84900,79950,79900,78900,74900,75000,74900,79450,89900,89900,89700,80000,77950,74950,79900,75500,69900,74900,74900,76900,85000,89900,89900,85000,85000,85000,79900,79900,89900,97400,89949.5,85000,87450,85000,88450,86000,85000,89900,89900,97450,99500,99000,98950,99000,99900,99000,89250,89000,91500,97800,89900,82450,79900,85000,99000,99000,99000,99300,99900,94900,95000,99000,99000,94900,99700,1e+05,115000,114999,109900,1e+05,108750,110000,110000,112450,110000,119950,115000,129900,129450,120000,115450,124900,119950,124400
"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",149,309900,317000,317950,319450,317450,319900,319900,319000,319000,315000,319000,311500,310500,296995,304674,302331.5,309000,306750,3e+05,299950,299000,299000,290000,299000,297500,299900,3e+05,297600,297600,307500,315000,319200,330000,330000,329900,330000,349000,349900,359990,382499.5,399000,407500,401450,409000,405276.5,409884.5,409800,425012.5,419999,418417,419950,420950,425450,425000,424950,415000,427580,430435,429000,429000,435000,429450,429045,439000,441375,445000,445000,449900,449900,449980,449900,460000,465000,460000,469000,469515,469900,465000,467797,462990,459990,459000,454990,459000,453900,454965,460000,469647.5,474900,496750,494749,492500,494998,499000,489900,499000,505500,505000,510000,519000,515000,515000,515000,515000,514999.5,515000,510000,508467.5
