"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Burnsville","MN","Minneapolis-St. Paul-Bloomington","Dakota County",469,154450,152500,144000,150000,154900,151450,139900,129950,129900,133700,131200,127500,118000,118000,107900,99500,99450,104950,96550,94900,89900,89900,98750,96250,96700,94450,102000,104900,117950,103125,104500,111950,100675,102000,104450,118722,127400,119900,120900,125950,139900,139900,129900,129900,134900,132500,129900,119450,117000,119900,131900,129400,124900,134892.5,129900,132392.5,129000,134988.5,136400,129900,134000,139900,139900,140967,149900,149900,159900,154900,154900,154900,149950,147900,144400,142900,155000,153750,150000,155000,159900,159900,154900,151950,150000,149900,149900,160000,167900,169900,169950,169900,169900,165000,161950,162250,172000,176500,174950,174900,174900,179900,184900,184900,180000,186450,184900,180000,186100,179900
"Albany","OR","Albany","Linn County",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,139450,130000,129900,125000,120000,119500,125000,129900,125000,129999,148900,139900,130000,141200,149000,149400,154825,172250,169500,170000,169500,170000,162450,153000,149450,155000,155000,149900,149900,149900,149900,149900,149900,159400,159900,159900,159950,159943.5,164900,170000,170000,175000,179450,172450,167400,169900,175000,175000,180000,185000,185000,199900,199700,199950,199950,199900,199900
"Des Plaines","IL","Chicago-Naperville-Elgin","Cook County",471,219000,210900,219000,212450,209950,199900,199900,207000,217450,212425,217450,199000,188999.5,188999.5,188999.5,186500,189000,187000,179250,182400,179200,170250,165000,159900,165000,155950,154900,159950,155000,149900,155000,160000,160000,149900,149000,142450,149900,149900,154900,140000,139900,140000,157400,154900,159900,169000,169000,169000,169000,174900,173894,179900,182400,187450,180000,174950,180950,175000,187400,187400,175000,182450,179900,177950,194900,187500,202500,210000,211900,199900,190000,187000,178000,189000,192450,189000,197000,185124.5,191950,198900,194000,198950,198900,189950,198900,2e+05,204900,204900,224900,230000,230000,229000,219900,222500,225000,222500,224990,219450,219000,219000,214900,2e+05,199900,212900,214900,214900,209950,215000
"Florence","SC","Florence","Florence County",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72450,79700,75000,79950,88900,88900,86950,85900,85450,89900,89900,89900,89900,89900,89900,89900,87900,79900,79900,75000,76500,75900,74900,75900,74900,74900,72700,73000,73000,73000,72950,72900,79900,84900,84950,83750,83000,79950,75200,74900,74900,82000,82000
"Lancaster","OH","Columbus","Fairfield County",473,90950,92700,92700,97900,95817,96734,94950,94700,94900,89000,87787,86200,86900,94950,83500,89974.5,92449,89950,89700,90250,90000,84949.5,79900,83949.5,84999,84949.5,84999.5,89900,89900,84900,84900,89900,84000,83900,83900,88800,87500,94900,87500,94900,89900,93400,89900,89900,89900,89900,99200,99900,89900,89900,89900,89900,85000,86950,84000,89900,89900,89000,83750,84995,87250,80450,79900,79900,89900,87450,94900,93450,89450,88450,82900,79900,74000,72400,73200,83500,84194,89900,84700,79900,87000,82000,89900,82000,79950,78950,79900,84500,84900,1e+05,102200,93750,95400,97200,89900,89900,92700,94700,92500,94900,99694,99900,107450,104900,108250,109450,109900,110000
"Biloxi","MS","Gulfport-Biloxi-Pascagoula","Harrison County",474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,130000,129000,129000,132000,132000,127750,126500,129450,129900,127400,107500
"Hendersonville","NC","Asheville","Henderson County",475,159900,155450,155000,169700,169995,167900,167900,159900,159900,159450,149900,147500,145000,139900,135700,139000,139900,144900,149000,149000,144500,149900,149900,149000,149500,149000,143000,144450,143750,142000,143600,145000,142600,137500,137000,135000,135000,139700,138000,144000,139977,135000,135000,135000,137500,139000,134900,139700,137500,138500,140900,137400,139900,139900,144900,147000,149900,149000,159900,159950,159000,165000,167250,164950,167750,163900,162900,165000,165000,163450,165000,159900,159700,159900,160000,169950,176950,184900,172450,173900,171400,185000,184500,189447.5,189900,180000,179900,199000,189000,202950,215000,214500,223950,239450,229900,224950,224950,219950,225000,228500,229000,229500,225000,225000,224500,233900,234950,235000
"West Allis","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",476,,,,,,,,,,,,,,,,,,,,,,,,,,77450,82400,89000,98900,94900,86950,89900,99900,100950,89900,89900,89900,93500,105000,99900,106000,109900,119000,119000,114900,112200,112900,109900,96900,99999,109950,113450,110950,109900,114900,104900,99700,99900,99900,101900,104950,107200,102900,104900,107000,107000,107250,109900,109900,107750,108450,109150,109650,107450,114900,114900,114900,114900,114900,112900,112900,113400,108000,108950,109900,119000,119900,119900,124900,122900,119900,119900,119900,119900,119900,119900,119900,119900,124500,122400,123000,124900,127500,129900,128380,124950,125000,119900
"Bristol","CT","Hartford-West Hartford-East Hartford","Hartford County",477,149000,149000,149000,146950,146000,144900,144900,149900,144900,145500,145000,145000,145500,147400,146900,149900,149900,148000,139900,139900,139900,135450,134995,133900,129400,129900,129900,129400,129999,130000,130900,131450,129900,125900,129900,131500,129900,127700,129000,126750,125000,128000,129900,129900,129900,127950,124500,123250,123900,124900,124900,124900,129900,132100,132200,129900,129900,126900,125000,124900,124900,124800,124800,124900,124900,124900,119900,120000,124900,123500,120450,115200,119900,120900,122300,122500,126900,129000,129000,125000,129000,125000,124000,124144,119450,119900,122500,119900,125000,129000,129900,129900,124900,135000,132400,129900,127450,121900,125000,119999,124900,124900,124900,116250,124900,125000,125000,123000
"Greenwich","CT","Bridgeport-Stamford-Norwalk","Fairfield County",478,675000,675000,699000,649000,649000,649000,659000,649000,647500,644500,646000,629500,695000,675000,659000,689000,689000,692500,685500,682000,655000,648250,655000,697000,742500,739900,695000,695000,675000,660000,649000,679000,674500,649000,679000,687000,679000,650000,649500,650000,649000,629000,639450,625000,649000,659500,650000,625000,614000,699000,695000,742000,714995,722447.5,679000,679000,712500,725000,670000,725000,798500,789000,729000,775000,756500,738000,699000,699000,699000,697000,693450,687000,737750,795000,754500,749000,699000,749900,799000,799000,840000,857500,842000,857000,857000,830000,785000,810000,799000,795000,779000,779000,749800,744000,759000,795000,799999,799999,799900,775000,778000,771500,750000,749000,779000,759900,763500,825000
